data,label
Pemerintah Pastikan Vaksin COVID-19 Belum Ditemukan,0
Vaksin Covid-19 Diprediksi Ditemukan 2021 New Normal Jadi Solusi Pemerintah ak,1
Vaksin Covid-19 Belum Ditemukan Pemerintah Siapkan Skenario New Normal,0
Pemerintah indonesia selama vaksin belum ditemukan kita harus bersiap hidup dengan covid 19 dan harus menjalani new normal,1
Sampai saat ini belum di temukan Vaksin Covid-19 Mari  cegah penyebaran Covid-19 dengan patuhi aturan pemerintah,1
Jadi the new normal yang diterapkan oleh pemerintah Joko Widodo sudah tepat di saat vaksin dan obat COVID-19 belum ditemukan kata Wakil Ketua Umum Partai Gerindra,1
diskusi masalah covid kalo pemerintah gabisa memberitahu informasi secara jujur dan dokter belum bisa maksimal menemukan vaksinnya,2
Kita dukung pemerintah untuk mandiri dalam hal penciptaan produksi vaksin covid 19 sy tdk meragukan kemampuan putra2 Indonesia seperti loboratorium eyckman jokowi KemenkesRI,1
Pemerintah mempersiapkan penerapan prosedur standar tatanan baru new normal di sarana publik karena wabah virus Corona COVID-19 belum bisa dipastikan berlalu sementara vaksin Corona juga belum ditemukan,0
Anggaran negara yang terkuras untuk rakyat apa untuk BUMN yang ada rakyat dipajaki berlipat seperti kenaikan bpjs petani panen sayur tapi pemerintah malah impor sayur sedangkan kasus covid masih tinggi dan belum ada vaksin,2
Beberapa bulan silam pemerintah menyebut telah membeli 2000 vaksin Kemudian di ralat vaksin covid belum ditemukan Hari ini kemendagri menyampaikan jika kemenristek telah membuat tim untuk riset vaksin covid Kok kayak aneh Kebohongan Baru,2
Pemerintah telah merancang skenario bagaimana caranya hidup normal di tengah-tengah pandemik Covid-19 yang belum mungkin habis dalam waktu dekat sebelum vaksinnya ditemukan,0
Pemerintah terlalu banyak ngurusin tutup sana sini batasin sana sini mending siapin vaksin covid aja dulu,1
Setuju Selama vaksin covid 19 belum ada dan menunggu penelitian yg berkepanjangan manusia harus bisa berdampingan dengan covid 19 dan kita harus bisa menjaga kesehatan dan mengikuti peraturan yg di berlakukan pemerintah Roda perekonomian harus segera pulih kembali,1
Herd Immunity itu kalau udah ada vaksin harusnya Tapi kayanya emang pemerintah pengen semua masyarakat kena covid supaya ada herd immunity Tapi bakalan ada banyak korban juga yg meninggal,0
Pandemi Covid-19 mau tak mau suka tak suka hrs di jalani sebagai suatu bagian dari kehidupan manusia Tidak mungkin menunggu vaksin sedangkan hidup butuh interaksi ekonomi dan sosial Kita dukung program pemerintah walau ada kekurangannya,2
Intinya pemerintah udah ga bener ngurusin covid dan akhirnya nurut mau nunggu vaksin,1
Menurut pemerintah para ahli dari seluruh dunia masih berusaha untuk menemukan vaksin untuk pencegahan Covid-19,0
Menurut pemerintah para ahli dari seluruh dunia masih berusaha untuk menemukan vaksin untuk pencegahan Covid-19,0
Pemerintah tidak mampu membeli vaksin dengan segala kebijakan Pemerintah membiarkan kita beraktivitas karena APBN untuk penanganan covid-19 sudah habis agar menumbuhkan perekonomian,2
Pemerintah dan masyarakat tengah bersiap menghadapi era normal yang baru atau new normal sebagai cara untuk sementara hidup berdamai dengan virus Corona COVID-19 hingga vaksinnya dapat ditemukan dan diproduksi massal,1
Syarat new nornal mesti ada vaksin covid 19 tanpa ada itu bunuh diri masal namaya,1
Herd imunity tanpa vaksin itu genosida,1
New Normal akan di jalankan hingga pemerintah mendapatkan vaksin untuk menangkal virus covid-19,1
Belum dicoba dengan melaksanakan protokol dengan baik dan benar udah bilang gak mungkin bisa ternyata nanti kemungkinan buruk covid emang ga bakal ilang dan susah nemu vaksinnya,2
Kalau pemerintah pro rakyat harusnya segera dibebasin dan pasti beliau langsung komando buat vaksin covid 19,1
Virus yang sangat berbahaya yang sampai saat ini belum ditemukan vaksin dan obatnya,0
"ekonomi berjalan kembali rakyat punya daya beli pemerintah tidak perlu bagi bansos bisa buat penanganan kasus dan pengembangan vaksin covid-19
",1
Gugus Tugas ingatkan vaksin COVID-19 belum ditemukan patuh dan ikuti aturan Pemerintah,0
Pemerintah tengah menyiapkan skenario new normal untuk Aparatur Sipil Negara ASN PNS di tengah pandemi COVID-19 Skenario ini disiapkan sebagai pedoman bagi PNS agar dapat bekerja secara optimal selama vaksin COVID-19 belum ditemukan,0
Jika ditemukan vaksin maka Vaksinasi Herd Immunity,1
Pemerintah tengah menyiapkan skenario new normal untuk Aparatur Sipil Negara ASN PNS di tengah pandemi Skenario ini disiapkan sebagai pedoman bagi PNS agar dapat bekerja secara optimal selama vaksin covid 19 belum ditemukan ,0
New Normal adalah tatanan baru utk beradaptasi dgn Covid19 dimana masyarakat harus menjaga produktivitasnya selama vaksin Covid yg mempunyai standard internasional belum ditemukan,1
Juru Bicara Pemerintah untuk Penanganan COVID-19 Achmad Yurianto menyebutkan vaksin bukan satu-satunya cara agar seseorang terhindar dari penularan Covid-19,2
Jubir Pemerintah untuk Penanganan Covid-19 Saat ini kita harus mulai memaklumi bahwa vaksin masih belum menemukan titik terang Belum pasti kapan vaksin ini bisa di produksi secara masal dan bisa dijadikan standart dunia utk memberikan kekebalan,2
Pemerintah Jepang baru-baru ini berencana akan memulai vaksinasi pencegahan infeksi Covid-19 kepada seluruh warganya,0
Juru Bicara Pemerintah untuk Penanganan Covid-19 menegaskan penemuan vaksin corona bukan lah hal yang mudah,2
Pemerintah menargetkan Indonesia dapat memproduksi vaksin sendiri untuk menangkal virus corona Covid-19 pada akhir tahun ini Vaksin ini akan diprioritaskan untuk penggunaan di Indonesia ZonaRequestMalam NewNormal diRumahAja,0
Pemerintah menyiapkan tananan kehidupan New Normal sambil sambil menunggu ditemukan vaksin Covod 19 Masyarakat harus bisa beradaptasi dgn situasi dan kondisi saat in so kita harus siap namun tetap menerapkan protokol kesehatan covid 19,0
pemerintah menargetkan pembuatan vaksin Covid-19 buatan dalam negeri,0
"sebenarnya covid itu emang gak ada tes covid juga gak 100 ampuh heran kenapa pemerintah takut WHO pinter banget menguasai dunia dengan vaksin gak menutup kemungkinan tahun depan akan ada pandemik lagi
",2
saya mohon sangat agar pembelian vaksin dan obat covid-19 bisa dilakukan negara agar harganya bisa terjangkau jangan seperti masker yang harganya berlipat ganda dan pemerintah tidak berdaya mengendalikan harga jualnya,1
Vaksin Covid-19 Belum Ditemukan Pemerintah Siapkan Skenario New Normal,0
Pemerintah ngambil skenario herd immunity soalnya Padahal secara teori herd immunity terjadi kalo diiringi adanya vaksin,1
Dana pemerintah pusat habis gegara PSBB daerah rakyat gak butuh PSBB rakyat butuh vaksin anti COVID 19,1
sambil terus berharap vaksin virus COVID-19 segera ditemukan dan diproduksi massal Kebijakan jangka pendek yang dapat diterapkan adalah bantuan keuangan baik dalam bentuk pinjaman lunak atau bantuan tunai langsung dengan melibatkan pemerintah dan sektor swasta,1
Sampai obat atau vaksin ditemukan dulu bagi yang tidak mau mengikuti anjuran pemerintah lebih baik jangan ditanggung biaya kesehatannya,1
ide cerdas untuk menjalankan Protokol Kesehatan di Ponpes Sebelum ditemukan vaksin covid-19,1
vaksin useless kalau kita tertular,2
new normal kurva turun mah kaga bakal bisa tanpa vaksin,1
pemerintah akan bersiap mengedarkan vaksin,0
pakai masker sampai vaksin ditemukan,1
untuk memutus mata rantai covid 19 pemerintah harus secepat nya menyedia kan vaksin,1
Kalo emang menurut pemerintah wabah Covid-19 ini masalah yang serius duit sebesar ini mending dialokasikan buat swab test atau penelitian tentang bakal vaksin yang ampuh untuk menangkal virus ini,1
Semoga covid segera ditemukan obat dan vaksinnya,1
Uang segitu bisa buat penelitian vaksin atau yang berhubungan dengan penanganan covid,1
pemerintah akan melakukan uji klinis fase kedua vaksin virus corona pada Agustus mendatang,0
vaksin covid 19 kental bernuansa politik dan bisnis,2
Semoga pandemic Covid-19 ini melandai dalam waktu dekat pemerintah dapat segera menemukan vaksinnya,1
Percepatan vaksin Covid-19 di Indonesia sangat membutuhkan kerja sama antara akademi bisnis peneliti dan pemerintah,0
